%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211441, 2015/07/23 13:31:25.41)
1 13 3.240866e+03 5.006448e+04  5.386262548597648674e+03  5.386262548597648674e+03  7.825295768347525154e+03  1.497372360659646988e+09
2 25 3.019292e+03 4.995929e+04  5.386262548597648674e+03  7.526286328910516204e+03  7.887395991015013351e+03  1.383883156981235352e+11
3 37 2.929540e+03 4.985846e+04  5.386262548597648674e+03  5.765393585532547149e+03  7.862171291854731862e+03  3.498993876332029343e+09
4 49 2.933820e+03 5.023054e+04  5.386262548597648674e+03  7.801680760497439223e+03  7.840269822975577881e+03  1.635329391699010620e+11
5 61 2.978018e+03 5.002566e+04  5.386262548597648674e+03  7.791578738653915934e+03  7.834587185227791451e+03  2.814069846693760753e+08
6 73 2.895218e+03 5.005133e+04  5.386262548597648674e+03  7.759083609622371114e+03  7.827690208321200771e+03  6.709955117900700308e+06
7 85 2.917536e+03 5.044318e+04  5.386262548597648674e+03  7.041266471081369673e+03  7.802729976893680941e+03  8.029188098206689574e+03
8 97 2.956604e+03 5.065811e+04  5.386262548597648674e+03  7.757653767811359103e+03  7.837566961904612981e+03  1.229630543913991096e+04
9 109 2.857257e+03 5.088745e+04  5.386262548597648674e+03  7.149787317197047742e+03  7.806821719310330991e+03  2.985542847836645842e+08
10 121 2.684219e+03 5.121045e+04  5.386262548597648674e+03  7.739038435431553808e+03  7.820983843157233423e+03  6.488774106717603750e+14
11 133 2.454975e+03 5.125237e+04  5.386262548597648674e+03  7.739604806530260248e+03  7.843833550960707726e+03  9.811956107373853028e+07
12 145 2.333636e+03 5.142500e+04  5.386262548597648674e+03  7.525465594272311137e+03  7.811330207372426230e+03  4.698932171936514282e+10
13 157 2.161267e+03 5.145837e+04  2.200168092832489037e+03  2.200168092832489037e+03  7.724498978736819481e+03  2.287586352582723141e+09
14 169 2.021585e+03 5.185996e+04  2.200168092832489037e+03  5.959452017824288305e+03  7.778133797021777355e+03  1.121598500003926456e+08
15 181 1.972487e+03 5.199492e+04  2.200168092832489037e+03  2.645461726258549788e+03  7.710459854809141689e+03  2.640292747369310558e+08
16 193 1.932012e+03 5.253865e+04  2.200168092832489037e+03  7.322676171831050851e+03  7.782653636741301852e+03  8.803198832061047363e+10
17 205 1.892387e+03 5.242234e+04  2.200168092832489037e+03  7.288494817281621181e+03  7.768279077206319016e+03  2.496784577276409668e+12
18 217 1.794366e+03 5.263146e+04  2.200168092832489037e+03  6.020232000881198474e+03  7.746570245713417535e+03  3.196718400392732024e+08
19 229 1.700904e+03 5.283939e+04  2.176305977526095376e+03  2.176305977526095376e+03  7.811002854552591089e+03  4.527593698121442795e+09
