%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=206563, 2015/09/3 6:27:5.64)
1 31  3.166609942145569789e+01 0 0 2.942101e-01 3.648260e-01 3.194905e+00 1.479095e+00 1.467807e+00 9.615381e-01 3.411162e+00 7.606095e-01 1.031019e+00 
2 61  3.723475438955735939e+01 0 0 4.849642e-01 -6.904683e-02 1.482410e+00 8.774823e-01 1.094113e-01 1.185729e+00 2.257532e-01 6.550754e-01 1.535650e+00 
3 91  3.104065813796072248e+01 0 0 8.769896e-01 3.236406e-01 3.250072e+00 1.121158e-01 2.139612e+00 1.861453e+00 9.705160e-01 1.627305e+00 9.241151e-01 
4 121  3.039783287723917127e+01 0 0 1.043071e+00 3.577093e-02 2.431031e+00 9.633264e-01 1.808140e+00 8.332083e-01 1.553138e+00 3.569843e-01 7.037434e-01 
5 151  3.232412809307505341e+01 0 0 5.641698e-01 1.196470e+00 1.281511e+00 7.361269e-01 1.473720e+00 5.750163e-01 5.089197e+00 4.327441e-01 1.213981e+00 
6 181  2.958124100514673671e+01 0 0 4.255409e-01 1.105709e-01 4.971628e+00 1.514166e+00 2.487826e+00 1.254887e+00 9.929367e-01 7.233250e-01 8.500022e-01 
7 211  3.175837947960088314e+01 0 0 7.408983e-01 6.525639e-01 3.791497e+00 7.402745e-01 1.436340e+00 6.163238e-01 3.598991e+00 3.600124e-01 1.161707e+00 
8 241  3.100355904586318090e+01 0 0 8.580926e-01 1.934762e+00 2.183767e-01 1.632110e-02 1.505282e+00 4.177203e-01 2.060912e+00 4.676183e-01 7.559782e-01 
9 271  3.258467430264349929e+01 0 0 7.300714e-01 3.021051e+00 2.882743e+00 9.201878e-01 1.464638e+00 1.042698e+00 5.867796e+00 3.669398e-01 9.642550e-01 
10 301  3.111145648323142510e+01 0 0 5.474844e-01 2.144671e+00 2.514810e+00 7.291636e-01 2.247465e+00 9.782810e-01 2.546872e+00 2.097578e-01 8.308414e-01 
11 331  3.168039817105529821e+01 0 0 6.779604e-01 2.169622e+00 3.862307e+00 1.619068e+00 2.215588e+00 4.287601e-01 3.131531e+00 1.506966e-01 9.921070e-01 
12 361  3.151265976880736730e+01 0 0 7.932960e-01 2.374460e+00 2.472133e+00 1.295842e+00 2.032105e+00 7.402381e-01 2.998681e+00 9.864178e-02 9.108180e-01 
13 391  3.234421872992972880e+01 0 0 8.947133e-01 2.904809e+00 2.788684e+00 1.384041e+00 2.315793e+00 9.283924e-01 4.372223e+00 2.530594e-01 1.033889e+00 
14 421  3.172206171498593008e+01 0 0 6.438588e-01 1.736891e+00 2.057367e+00 6.955944e-01 2.080509e+00 1.216314e+00 3.532011e+00 5.040367e-01 1.212227e+00 
15 451  3.178194766808521621e+01 0 0 3.867151e-01 2.936860e+00 4.240542e+00 1.013931e+00 2.077136e+00 9.717758e-01 2.666029e+00 2.884762e-01 8.830853e-01 
16 481  3.203509565724442609e+01 0 0 7.231036e-01 2.677025e+00 3.862967e+00 1.133344e+00 2.704777e+00 1.064043e+00 3.483147e+00 3.642506e-01 9.737483e-01 
17 511  3.054944410863537740e+01 0 0 7.436938e-01 6.621282e-01 4.747899e+00 1.727373e+00 2.440735e+00 9.475769e-01 1.853898e+00 1.684888e-01 8.959266e-01 
18 541  3.229310268381119187e+01 0 0 1.014810e+00 3.133040e+00 5.118642e+00 2.033744e+00 4.001226e+00 1.399095e+00 4.594118e+00 4.332456e-01 6.611908e-01 
19 571  3.119533053741248807e+01 0 0 4.829933e-01 1.253967e+00 3.990708e+00 1.417113e+00 2.826225e+00 7.119481e-01 2.662202e+00 2.204958e-01 5.551379e-01 
20 601  3.240188648989944653e+01 0 0 7.075393e-01 2.909277e+00 3.580519e+00 1.368091e+00 2.327782e+00 8.037035e-01 5.347626e+00 4.226522e-01 7.975729e-01 
21 631  3.187950752152073264e+01 0 0 5.773291e-01 3.664398e+00 4.035993e+00 1.330492e+00 2.205168e+00 7.895609e-01 3.833577e+00 3.135950e-01 1.072911e+00 
22 661  3.186765627556226121e+01 0 0 6.201921e-01 2.294528e+00 3.705370e+00 1.117871e+00 2.333376e+00 7.034621e-01 3.752425e+00 3.506616e-01 9.766757e-01 
23 691  3.222518287232009015e+01 0 0 9.238622e-01 3.633419e+00 3.521478e+00 1.101977e+00 2.693230e+00 1.167734e+00 4.575709e+00 3.327064e-01 7.253115e-01 
24 721  3.221179574352220953e+01 0 0 7.072981e-01 3.223174e+00 3.025214e+00 1.277102e+00 2.650060e+00 1.147243e+00 3.546974e+00 3.417233e-01 9.776841e-01 
25 751  3.187286007308159341e+01 0 0 6.467938e-01 1.972170e+00 2.569863e+00 1.031853e+00 2.007079e+00 1.050683e+00 3.468241e+00 2.755608e-01 9.667511e-01 
26 781  3.201636589579501191e+01 0 0 7.496583e-01 3.023629e+00 3.544638e+00 1.259781e+00 2.621704e+00 9.851983e-01 4.152307e+00 3.772118e-01 8.930224e-01 
27 811  3.192853860210869499e+01 0 0 7.636914e-01 2.488211e+00 3.734369e+00 1.276727e+00 2.657100e+00 7.302179e-01 3.679869e+00 2.997936e-01 8.872588e-01 
28 841  3.189970615904917040e+01 0 0 6.888999e-01 2.031773e+00 2.852255e+00 1.328005e+00 2.627190e+00 7.338036e-01 3.609079e+00 2.697372e-01 8.909691e-01 
29 871  3.159794970827536531e+01 0 0 5.803620e-01 1.613704e+00 3.703046e+00 1.146909e+00 2.274707e+00 8.541726e-01 3.203691e+00 3.542930e-01 1.031851e+00 
30 901  3.165263157025653840e+01 0 0 5.689798e-01 1.142244e+00 4.004315e+00 1.371076e+00 2.241774e+00 8.158177e-01 3.083444e+00 3.459847e-01 9.224875e-01 
31 931  3.161874304329104035e+01 0 0 6.969544e-01 1.610825e+00 3.537556e+00 9.592769e-01 2.576105e+00 9.265773e-01 3.078289e+00 3.816329e-01 9.940479e-01 
32 961  3.140808097041565716e+01 0 0 7.130289e-01 1.524409e+00 3.520997e+00 1.056544e+00 2.459572e+00 8.799918e-01 2.914186e+00 3.120046e-01 9.963689e-01 
33 991  3.093348850295192776e+01 0 0 5.770600e-01 6.490983e-01 3.051657e+00 9.950096e-01 2.160618e+00 9.751129e-01 2.303969e+00 3.394860e-01 1.065701e+00 
34 1021  3.110358858325573550e+01 0 0 6.536285e-01 1.146747e+00 3.367099e+00 8.836472e-01 2.479672e+00 9.209102e-01 2.592713e+00 3.673215e-01 9.925332e-01 
35 1051  3.116881442943967784e+01 0 0 5.487694e-01 1.859319e+00 3.637862e+00 1.223375e+00 2.528239e+00 8.872740e-01 2.665758e+00 2.673674e-01 9.324969e-01 
36 1081  3.071012684615523014e+01 0 0 4.566549e-01 4.967018e-01 3.449745e+00 1.214799e+00 2.634361e+00 6.143518e-01 1.362828e+00 1.997407e-01 9.560157e-01 
37 1111  2.989306577887512972e+01 0 0 4.261626e-01 6.837324e-01 2.837900e+00 1.138235e+00 2.514289e+00 9.680299e-01 1.434821e+00 2.122274e-01 9.939538e-01 
38 1141  3.029927298784838285e+01 0 0 2.394590e-01 8.091418e-01 3.332670e+00 8.946844e-01 2.712981e+00 7.435227e-01 1.129936e+00 2.753526e-01 8.719471e-01 
39 1171  2.991698439541543308e+01 0 0 2.485645e-01 1.017279e+00 3.951954e+00 1.056649e+00 3.192880e+00 9.190328e-01 1.184685e+00 3.608614e-01 8.608004e-01 
40 1201  2.991945602214561362e+01 0 0 5.059598e-01 8.618368e-01 3.402839e+00 1.060703e+00 3.009460e+00 8.467456e-01 1.574359e+00 2.304342e-01 8.560396e-01 
41 1231  2.922400546309655667e+01 0 0 2.838687e-01 1.370289e+00 4.214881e+00 1.235882e+00 2.837599e+00 5.287071e-01 1.009351e+00 8.324959e-02 9.019378e-01 
42 1261  2.949196475914736126e+01 0 0 3.929378e-01 6.195117e-01 4.378444e+00 9.046745e-01 2.972719e+00 6.488156e-01 1.401136e+00 3.680383e-01 9.506396e-01 
43 1291  3.000960094674669065e+01 0 0 2.627927e-01 2.031154e+00 3.667999e+00 1.231859e+00 3.566657e+00 6.733361e-01 1.231697e+00 1.596838e-01 6.661716e-01 
44 1321  2.982390959320100521e+01 0 0 4.481968e-01 2.916090e-01 4.424205e+00 1.177641e+00 2.541425e+00 7.824018e-01 1.336862e+00 3.127358e-01 9.063931e-01 
45 1351  3.005453008614294319e+01 0 0 4.133089e-01 1.074307e+00 3.432653e+00 1.162750e+00 2.293907e+00 8.639936e-01 1.601135e+00 1.670480e-01 9.762542e-01 
