%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212796, 2015/08/14 13:51:26.97)
1 11 2.543875e+00 7.585366e+00  3.301228100157372296e+02  3.301228100157372296e+02  1.136185464273021221e+08  7.012555725484664307e+11
2 21 2.665675e+00 7.979566e+00  3.298563614623774924e+02  3.298563614623774924e+02  3.301688876613847015e+02  2.647075092122673988e+08
3 31 2.834562e+00 8.004648e+00  3.298563614623774924e+02  3.299910919765338804e+02  3.301901230084331473e+02  3.130994510836571455e+06
4 41 2.917488e+00 8.350606e+00  3.087106210824405821e+02  3.087106210824405821e+02  3.300868867068966210e+02  3.301901242939650274e+02
5 51 2.840845e+00 8.583556e+00  3.087106210824405821e+02  3.299219531515736890e+02  3.301649249991818920e+02  3.877284628250129521e+06
6 61 2.648334e+00 8.978366e+00  3.087106210824405821e+02  3.299456153599916206e+02  3.301892145005565453e+02  8.754645543660512194e+05
7 71 2.485775e+00 9.015367e+00  3.087106210824405821e+02  3.299817392741293816e+02  3.301899764589778670e+02  1.661556242941443808e+06
8 81 2.363800e+00 9.112979e+00  3.087106210824405821e+02  3.293835979757869836e+02  4.178328976197848533e+03  3.866380470818023197e+06
9 91 2.408342e+00 9.399411e+00  3.087106210824405821e+02  3.298150735151570530e+02  3.301150492054465531e+02  4.158398617749420460e+06
10 101 2.325163e+00 9.463733e+00  1.605111993202912686e+02  1.605111993202912686e+02  3.301409273862859663e+02  1.192773353446315974e+07
11 111 2.136416e+00 9.329434e+00  1.605111993202912686e+02  3.301012327285750416e+02  3.301458622063265125e+02  1.121455109381535149e+05
12 121 2.132298e+00 8.945665e+00  1.348108559761573417e+02  1.348108559761573417e+02  4.794786556772197400e+03  6.767632738107615151e+05
13 131 1.994712e+00 8.858164e+00  1.348108559761573417e+02  2.002000533125684854e+02  4.542812545515428724e+02  2.830514050406189635e+06
14 141 2.040561e+00 8.893210e+00  1.348108559761573417e+02  1.468188780866413481e+02  2.771216085377216586e+04  2.111701262216233611e+08
15 151 1.999696e+00 9.019858e+00  8.189497725274114259e+01  8.189497725274114259e+01  3.301899089757915817e+02  1.725750624663099879e+06
16 161 1.932290e+00 9.037521e+00  8.189497725274114259e+01  3.249224118709122422e+02  3.937730269851781486e+02  5.873058286868156756e+03
17 171 1.861366e+00 8.960065e+00  8.189497725274114259e+01  1.432298947301844692e+02  3.292352576723404809e+02  1.090849476476041016e+12
18 181 1.631762e+00 8.956325e+00  8.189497725274114259e+01  2.765407782537041044e+02  3.300145337737604905e+02  2.450493254362577318e+03
19 191 1.572753e+00 8.936107e+00  8.189497725274114259e+01  2.956964395913065573e+02  3.301383935156750340e+02  2.240603508505945229e+03
20 201 1.545371e+00 8.910459e+00  8.189497725274114259e+01  1.871258116240241236e+02  3.301091694729194614e+02  2.800941532766953605e+04
21 211 1.427429e+00 9.014846e+00  7.000091321881726003e+01  7.000091321881726003e+01  3.301684006192464835e+02  6.372239122012560256e+05
22 221 1.310855e+00 9.069053e+00  7.000091321881726003e+01  3.147706866230493006e+02  3.301280071576725277e+02  2.557041355038719194e+05
23 231 1.248118e+00 9.136476e+00  7.000091321881726003e+01  1.331133873117359201e+02  3.301638713951541604e+02  5.397078631486544327e+04
24 241 1.296191e+00 9.450814e+00  7.000091321881726003e+01  8.648264674189626078e+01  5.953219929850479275e+02  8.594194539632758824e+04
25 251 1.242994e+00 9.475663e+00  7.000091321881726003e+01  8.276537623027883228e+01  3.295167953123168445e+02  1.364326895795576274e+04
26 261 1.140965e+00 9.628082e+00  6.654776694452132801e+01  6.654776694452132801e+01  5.052061233626686203e+02  5.822558337232987105e+04
27 271 1.041233e+00 9.696062e+00  6.254873794518267971e+01  6.254873794518267971e+01  3.301890469179621732e+02  1.776993557473457622e+04
28 281 1.003618e+00 9.833294e+00  6.254873794518267971e+01  1.043565156009487538e+02  3.200043350001197950e+02  4.847162836249122847e+03
29 291 1.088000e+00 9.688033e+00  5.948131186444886254e+01  5.948131186444886254e+01  3.301624923385019201e+02  2.102823073529698377e+04
30 301 1.083875e+00 9.667545e+00  5.948131186444886254e+01  8.001016120708155199e+01  3.294423208424640279e+02  1.841234672541703912e+04
31 311 1.104706e+00 9.444800e+00  5.948131186444886254e+01  8.098875632579107275e+01  3.072950608454974599e+02  7.846115363953405904e+03
32 321 1.070150e+00 9.342280e+00  5.948131186444886254e+01  7.015774226490889021e+01  3.288979040427255995e+02  5.754357628523951280e+04
33 331 1.073626e+00 8.997517e+00  5.948131186444886254e+01  9.519259736292511320e+01  2.718605847882990361e+02  1.223474656508865337e+03
34 341 1.067114e+00 8.992706e+00  5.948131186444886254e+01  6.069247069289136221e+01  3.301329882673910561e+02  3.689220784254714090e+04
35 351 9.881758e-01 8.930440e+00  5.948131186444886254e+01  1.364089709671200694e+02  3.286559909585457717e+02  1.769338786730407264e+03
36 361 8.494817e-01 8.726513e+00  5.948131186444886254e+01  1.899679427463865693e+02  3.299491445551808511e+02  3.514515474897514196e+03
37 371 8.183291e-01 8.738616e+00  5.948131186444886254e+01  6.038478480852072039e+01  3.281317169724661653e+02  8.952381915767703049e+02
38 381 7.792811e-01 8.917848e+00  5.948131186444886254e+01  5.969394493637491905e+01  3.116475121799797989e+02  4.368729735868595526e+03
39 391 7.863147e-01 8.758420e+00  5.948131186444886254e+01  5.985655531019331477e+01  3.079971684719031373e+02  1.013415995178483536e+04
40 401 7.354210e-01 8.636484e+00  5.948131186444886254e+01  6.310325730812311917e+01  1.173499178086664614e+02  1.906876823343058277e+03
41 411 6.505928e-01 8.554838e+00  5.948131186444886254e+01  7.050365635669827213e+01  2.698789645803228154e+02  1.904578844800765637e+03
42 421 6.281732e-01 8.376778e+00  5.948131186444886254e+01  6.324785906895226617e+01  2.461494103317985491e+02  6.561274790183526420e+03
43 431 6.307634e-01 8.477644e+00  5.931076711543669688e+01  5.931076711543669688e+01  2.103961286295063928e+02  5.322605581472451377e+03
44 441 6.226612e-01 8.468286e+00  5.931076711543669688e+01  6.420173463080035958e+01  2.072774322356246159e+02  8.210312715520303755e+02
45 451 5.642948e-01 8.507981e+00  5.931076711543669688e+01  6.080488786626931130e+01  9.456835002014182123e+01  4.530238678622444581e+02
46 461 5.419775e-01 9.112472e+00  5.931076711543669688e+01  6.297990750948663674e+01  1.166059403416496991e+02  1.988717602081767609e+03
47 471 5.331865e-01 9.320075e+00  5.931076711543669688e+01  8.040056475653923940e+01  1.344033296643411575e+02  9.812642776426104092e+02
48 481 5.009985e-01 9.491081e+00  5.931076711543669688e+01  6.318071926450272713e+01  1.138375554333250790e+02  4.513629803825132285e+02
49 491 5.076456e-01 9.627897e+00  5.931076711543669688e+01  6.536333934288866487e+01  1.104400202160993274e+02  2.803873482825067640e+02
50 501 4.792531e-01 9.893083e+00  5.931076711543669688e+01  6.324057542442919555e+01  8.271720589304607074e+01  6.407764817256020251e+02
51 511 4.511873e-01 1.006409e+01  5.931076711543669688e+01  6.723799389944431937e+01  1.196238983488817809e+02  6.918901807883607944e+02
52 521 4.455626e-01 1.008321e+01  5.931076711543669688e+01  6.168810319450378898e+01  7.625957715820342742e+01  2.611053130580443735e+02
53 531 4.775240e-01 1.014715e+01  5.931076711543669688e+01  6.210343732395831751e+01  8.399440263624089198e+01  5.633517668972664296e+02
54 541 4.510822e-01 1.053747e+01  5.931076711543669688e+01  6.182489668127598748e+01  9.106388753792641921e+01  2.596506445114940220e+02
55 551 4.509827e-01 1.074283e+01  5.931076711543669688e+01  6.088076038200549078e+01  1.456938572571360737e+02  2.147432470546951322e+02
56 561 4.761440e-01 1.087713e+01  5.931076711543669688e+01  6.385571596241030079e+01  9.249313076205639561e+01  7.216601633710833994e+02
57 571 4.625707e-01 1.107987e+01  5.931076711543669688e+01  6.200214858135042562e+01  9.033965491587065344e+01  2.750860526909881401e+02
58 581 4.355071e-01 1.123425e+01  5.931076711543669688e+01  6.545071766413272485e+01  1.181274354427570188e+02  2.271967614229023411e+02
59 591 4.160471e-01 1.142046e+01  5.931076711543669688e+01  6.112493626821483872e+01  9.840143598408323555e+01  1.630331871739826965e+02
60 601 4.103180e-01 1.191271e+01  5.931076711543669688e+01  6.031356123261781477e+01  6.443454651569911107e+01  2.828398559327305293e+02
61 611 4.318485e-01 1.317778e+01  5.931076711543669688e+01  6.005253548624160942e+01  1.030686783226947938e+02  2.063042015123938313e+02
62 621 4.300312e-01 1.377793e+01  5.931076711543669688e+01  6.369247550697414795e+01  9.485777556295829527e+01  1.582749641614420000e+02
63 631 4.484006e-01 1.444567e+01  5.931076711543669688e+01  6.109553577058181872e+01  8.621031050391371764e+01  1.113386020592078921e+03
64 641 4.520484e-01 1.488259e+01  5.931076711543669688e+01  6.237068720745867267e+01  1.068387441091761048e+02  2.717718247207620266e+02
