%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213698, 2015/08/6 12:37:58.99)
1 11  9.307009065556938410e+00 0 0 3.786897e+00 7.394199e-01 1.254132e+00 -5.517609e-01 1.440239e+00 -6.544413e+00 8.626144e+00 1.081776e+01 4.439793e-01 
2 21  2.175181536534010363e+01 0 0 4.538964e+00 5.871426e-01 4.513000e-01 -9.978289e-04 -6.136627e-01 -4.222499e+00 1.504862e+01 -9.663620e+00 -2.061916e+00 
3 31  4.974043913156148733e+01 0 0 -3.630648e+00 1.718522e+00 2.863631e-01 8.969534e+00 -7.305973e+00 5.012978e-01 1.065165e+01 2.310923e+00 5.256031e+00 
4 41  4.297049928927572893e+01 0 0 3.516446e-01 4.964835e-02 5.099067e-01 7.577297e-01 -5.985755e-01 5.612604e+00 6.165552e+00 -1.297864e+01 -3.624466e+00 
5 51  1.446024603399983022e+01 0 0 6.246381e+00 1.808082e+00 1.797324e+00 3.960777e+00 5.706739e+00 2.790984e-01 2.559124e+01 1.318778e+01 4.520616e+00 
6 61  1.754782379512854362e+01 0 0 2.391089e+00 8.292309e-01 1.420956e+00 3.861307e+00 8.046482e+00 -2.578503e+00 1.090581e+01 1.155605e+01 4.810847e+00 
7 71  2.934149541574723941e+01 0 0 4.595154e+00 1.154108e+00 1.627284e+00 7.700919e+00 7.678183e+00 -2.386177e+00 3.653002e+01 1.229445e+01 3.828131e+00 
8 81  2.448967829901544135e+01 0 0 5.167955e+00 1.392016e+00 1.242190e+00 7.229416e+00 6.808584e+00 1.498836e+01 1.889757e+01 7.787248e-01 -3.200699e+00 
9 91  1.334854282817245696e+01 0 0 4.856618e+00 1.915432e+00 5.855708e-01 3.399517e+00 4.514753e+00 8.588586e-01 2.659735e+01 2.262236e+01 7.291207e+00 
10 101  1.164921010253845246e+01 0 0 1.127856e+01 1.678553e+00 4.156636e-01 3.786207e+00 1.061480e+01 8.427592e-01 3.947699e+01 2.552392e+01 2.080730e+00 
11 111  1.220323987612566441e+01 0 0 1.156054e+01 1.659814e+00 6.722442e-01 3.946736e+00 5.334089e+00 6.893218e+00 3.511064e+01 1.604333e+01 2.386990e+00 
12 121  1.194825945830304370e+01 0 0 1.354735e+01 2.225969e+00 1.101650e+00 5.933067e+00 3.983227e+00 3.655340e+00 4.843422e+01 3.419178e+01 6.891926e+00 
13 131  1.131775829705435932e+01 0 0 1.364858e+01 1.570564e+00 1.150566e+00 3.261449e+00 4.589919e+00 -3.610900e-01 4.192994e+01 1.674775e+01 6.584245e+00 
14 141  1.281899042137768951e+01 0 0 1.162805e+01 2.522117e+00 7.451649e-01 4.768251e+00 3.538933e+00 8.869699e+00 4.246759e+01 3.667635e+01 9.874002e+00 
15 151  1.296237288016106426e+01 0 0 1.909134e+01 3.289367e+00 4.605284e-01 7.938003e+00 3.896800e+00 4.035424e+00 5.524905e+01 4.247418e+01 1.462887e+01 
16 161  2.143982464812578925e+01 0 0 6.905821e+00 2.262990e+00 4.710030e-01 2.818537e+00 1.044973e+01 9.077178e+00 2.669228e+01 5.168598e+01 3.427405e+00 
17 171  1.120822580230581345e+01 0 0 7.933516e+00 3.027623e+00 -8.229418e-02 3.118405e+00 7.592812e+00 3.365871e+00 3.790177e+01 4.112519e+01 5.071888e+00 
18 181  1.502248120794558872e+01 0 0 5.571402e+00 1.172702e+00 8.139777e-01 1.714638e+00 4.045007e+00 1.093124e+01 9.312694e+00 2.743983e+01 1.007422e+01 
19 191  9.759711251302421786e+00 0 0 1.091409e+01 1.612969e+00 1.114949e+00 3.067996e+00 5.521179e+00 6.293161e+00 1.799767e+01 3.964475e+01 8.732319e+00 
20 201  8.820632834925962840e+00 0 0 1.133580e+01 2.113041e+00 7.947032e-01 4.195712e+00 1.138309e+01 9.945100e+00 8.626525e+00 4.806925e+01 1.528334e+01 
21 211  8.731991387282246109e+00 0 0 9.784259e+00 2.124871e+00 6.850638e-01 4.174012e+00 8.983238e+00 5.583756e+00 1.156476e+01 3.922123e+01 1.339334e+01 
22 221  9.634169998033607740e+00 0 0 1.227183e+01 2.268817e+00 9.702952e-01 2.974331e+00 7.030108e+00 3.343791e+00 1.711388e+01 3.608251e+01 1.177372e+01 
23 231  1.025770250595736854e+01 0 0 1.266442e+01 2.188881e+00 1.042730e+00 2.400744e+00 5.700565e+00 1.129629e+01 1.699488e+01 3.590148e+01 7.557103e+00 
24 241  1.337007957270807879e+01 0 0 1.411066e+01 1.891523e+00 6.196868e-01 2.098906e+00 6.257869e+00 8.361421e+00 2.023463e+01 4.266229e+01 1.086157e+01 
25 251  9.680022209105320741e+00 0 0 1.334305e+01 1.844950e+00 1.034865e+00 1.712024e+00 4.014472e+00 1.227387e+01 1.605551e+01 4.140262e+01 1.162489e+01 
26 261  1.101410450607960634e+01 0 0 1.183638e+01 1.988972e+00 1.525559e+00 9.430772e-01 3.703323e+00 1.391079e+01 1.135815e+01 4.233391e+01 1.043697e+01 
27 271  1.369451364750592681e+01 0 0 1.475220e+01 1.559626e+00 1.161710e+00 1.553162e+00 3.491170e+00 7.102262e+00 2.581493e+01 3.812593e+01 9.948360e+00 
28 281  1.351063108562036419e+01 0 0 1.370801e+01 2.045612e+00 1.325800e+00 6.871809e-01 3.652605e+00 1.065410e+01 1.582431e+01 4.837025e+01 9.871152e+00 
29 291  1.040292136068633688e+01 0 0 1.204849e+01 2.254581e+00 1.441994e+00 1.325941e+00 2.521170e+00 1.179579e+01 1.881603e+01 3.942791e+01 1.161797e+01 
30 301  9.445575689525844254e+00 0 0 1.011248e+01 1.988810e+00 1.211283e+00 7.811895e-01 2.665034e+00 1.068639e+01 1.561923e+01 3.812686e+01 8.687501e+00 
31 311  1.086640236669603787e+01 0 0 1.059374e+01 2.659490e+00 1.423356e+00 2.419366e+00 2.879029e+00 1.324687e+01 2.203229e+01 4.152828e+01 1.119165e+01 
