%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=211261, 2015/08/6 12:45:26.62)
1 11 1.594590e+01 1.008051e+00 5.034296e-02 5.034296e-02 5.274121e-02 2.301020e-01 3.383445e-01 3.510596e-01 4.380072e-01 4.429693e-01 9.677847e-01 1.008051e+00 
2 21 1.489289e+01 1.003262e+00 4.957514e-02 4.957514e-02 5.403544e-02 2.265392e-01 3.328739e-01 3.460147e-01 4.303265e-01 4.382161e-01 9.657262e-01 1.003262e+00 
3 31 1.517818e+01 1.071621e+00 4.884603e-02 4.884603e-02 5.317762e-02 2.230491e-01 3.305426e-01 3.481041e-01 4.345784e-01 4.455145e-01 9.533327e-01 1.071621e+00 
4 41 1.517944e+01 1.062540e+00 4.842746e-02 4.842746e-02 5.307492e-02 2.280975e-01 3.311834e-01 3.433416e-01 4.340261e-01 4.391808e-01 9.677052e-01 1.062540e+00 
5 51 1.458497e+01 1.049905e+00 4.910072e-02 4.910072e-02 5.357506e-02 2.248719e-01 3.302635e-01 3.377784e-01 4.276877e-01 4.331068e-01 9.657922e-01 1.049905e+00 
6 61 1.395013e+01 1.056548e+00 4.843533e-02 4.843533e-02 5.282399e-02 2.234300e-01 3.267762e-01 3.499986e-01 4.219388e-01 4.287428e-01 9.581806e-01 1.056548e+00 
7 71 1.404305e+01 1.040263e+00 4.846010e-02 4.846010e-02 5.207291e-02 2.229205e-01 3.222126e-01 3.493366e-01 4.223439e-01 4.392387e-01 9.463716e-01 1.040263e+00 
8 81 1.329896e+01 1.030670e+00 4.796877e-02 4.796877e-02 5.195926e-02 2.195558e-01 3.170116e-01 3.441765e-01 4.156026e-01 4.430957e-01 9.414804e-01 1.030670e+00 
9 91 1.140474e+01 1.011594e+00 4.729846e-02 4.729846e-02 5.111089e-02 2.152032e-01 3.142888e-01 3.385553e-01 4.137144e-01 4.387102e-01 9.388272e-01 1.011594e+00 
10 101 9.781894e+00 9.984359e-01 4.679928e-02 4.679928e-02 5.024670e-02 2.202155e-01 3.122045e-01 3.355976e-01 4.068719e-01 4.299555e-01 9.248614e-01 9.984359e-01 
11 111 9.148702e+00 9.823487e-01 4.611691e-02 4.611691e-02 4.961240e-02 2.217791e-01 3.085526e-01 3.393203e-01 4.016599e-01 4.290353e-01 9.190667e-01 9.823487e-01 
12 121 9.895502e+00 9.983064e-01 4.547047e-02 4.547047e-02 5.300647e-02 2.222061e-01 3.032162e-01 3.352724e-01 3.941386e-01 4.219218e-01 9.619236e-01 9.983064e-01 
