10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.531,10.634,10.682,10.682,10.387,10.387,10.387,10.448,10.448,10.585,10.585,10.585,10.352,10.352,10.352,10.912,10.912,10.352,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.762,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.912,10.757,10.912,10.575,10.575,10.757,10.762,10.575,10.912,10.762,10.575,10.388,10.575,10.762,10.155,10.388,10.388,10.155,8.876,10.155,10.155,10.155
10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.482,10.553,10.538,10.626,10.233,10.233,10.233,10.389,10.389,10.422,10.422,10.422,10.182,10.182,10.182,10.617,10.617,10.182,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.674,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.617,10.634,10.617,10.231,10.231,10.634,10.674,10.231,10.617,10.674,10.231,10.213,10.231,10.674,9.9312,10.213,10.213,9.9312,8.6237,9.9312,9.9312,9.9312
9.9479,9.9479,9.9479,9.9479,9.9479,9.9479,9.9479,9.9479,10.146,10.064,10.074,10.172,10.017,10.017,10.017,10.18,10.18,10.03,10.03,10.03,9.8508,9.8508,9.8508,10.198,10.198,9.8508,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.067,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.198,10.249,10.198,9.8464,9.8464,10.249,10.067,9.8464,10.198,10.067,9.8464,9.7329,9.8464,10.067,9.6218,9.7329,9.7329,9.6218,8.3536,9.6218,9.6218,9.6218
9.8219,9.8219,9.8219,9.8219,9.8219,9.8219,9.8219,9.8219,10.017,9.942,9.9123,10.178,10.103,9.8373,9.8373,10.161,10.161,10.001,10.001,10.001,9.7652,9.7652,9.7652,10.396,10.396,9.7652,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.021,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.396,10.097,10.396,9.7427,9.7427,10.097,10.021,9.7427,10.396,10.021,9.7427,9.8139,9.7427,10.021,9.6004,9.8139,9.8139,9.6004,8.5342,9.6004,9.6004,9.6004
9.8054,9.8054,9.8054,9.8054,9.8054,9.8054,9.8054,9.8054,10.053,10.176,9.9401,10.13,10.124,9.965,9.965,10.261,10.261,9.9248,9.9248,9.9248,9.8044,9.8044,9.8044,10.346,10.346,9.8044,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,9.922,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.346,10.18,10.346,9.7157,9.7157,10.18,9.922,9.7157,10.346,9.922,9.7157,9.8371,9.7157,9.922,9.6346,9.8371,9.8371,9.6346,8.428,9.6346,9.6346,9.6346
10.098,10.098,10.098,10.098,10.098,10.098,10.098,10.098,10.095,10.222,10.026,10.335,10.278,10.27,10.27,10.436,10.436,10.23,10.23,10.23,10.049,10.049,10.049,10.237,10.237,10.049,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.087,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.237,10.433,10.237,9.8899,9.8899,10.433,10.087,9.8899,10.237,10.087,9.8899,9.8769,9.8899,10.087,9.6669,9.8769,9.8769,9.6669,8.0781,9.6669,9.6669,9.6669
10.496,10.496,10.496,10.496,10.496,10.496,10.496,10.496,10.417,10.506,10.408,10.809,10.72,10.579,10.579,10.886,10.886,10.478,10.478,10.478,10.391,10.391,10.391,10.423,10.423,10.391,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.686,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.423,10.885,10.423,10.517,10.517,10.885,10.686,10.517,10.423,10.686,10.517,10.204,10.517,10.686,10.096,10.204,10.204,10.096,8.4265,10.096,10.096,10.096
10.606,10.606,10.606,10.606,10.606,10.606,10.606,10.606,10.439,10.6,10.504,10.749,10.84,10.643,10.643,11.003,11.003,10.907,10.907,10.907,10.513,10.513,10.513,10.245,10.245,10.513,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.703,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,10.245,11.061,10.245,10.761,10.761,11.061,10.703,10.761,10.245,10.703,10.761,10.257,10.761,10.703,10.273,10.257,10.257,10.273,7.9972,10.273,10.273,10.273
10.563,10.563,10.563,10.563,10.563,10.563,10.563,10.563,10.467,10.666,10.593,11.025,11.08,10.692,10.692,11.092,11.092,10.883,10.883,10.883,10.705,10.705,10.705,10.549,10.549,10.705,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.938,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,10.549,11.333,10.549,10.884,10.884,11.333,10.938,10.884,10.549,10.938,10.884,10.053,10.884,10.938,10.438,10.053,10.053,10.438,8.0876,10.438,10.438,10.438
10.995,10.995,10.995,10.995,10.995,10.995,10.995,10.995,10.788,10.927,11.154,11.359,11.515,10.983,10.983,11.446,11.446,11.179,11.179,11.179,10.997,10.997,10.997,10.535,10.535,10.997,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,11.412,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,10.535,11.78,10.535,11.248,11.248,11.78,11.412,11.248,10.535,11.412,11.248,10.73,11.248,11.412,10.801,10.73,10.73,10.801,8.1293,10.801,10.801,10.801
