%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211506, 2015/08/22 12:58:0.30)
1 26  1.647265207010746053e+02 0 0 -3.539648e-01 1.194319e+00 1.379277e+00 7.431961e-01 6.342943e-01 5.072599e-01 7.498646e-01 1.780863e+00 4.873188e-01 
2 51  1.646356172249553822e+02 0 0 -4.482770e+00 8.934014e-01 5.898528e-01 1.010565e-02 6.164967e-01 1.338293e+00 6.325427e-01 1.781472e+00 -3.825144e-01 
3 76  1.602724970631890358e+02 0 0 -3.169945e+00 1.486934e+00 4.583882e-01 5.672931e-01 5.129826e-02 7.136977e-01 4.692829e-01 1.242769e+00 1.283421e+00 
4 101  1.646091673664516577e+02 0 0 -3.265892e-01 1.018705e+00 1.727000e+00 1.463863e+00 3.534114e-01 6.411721e-01 6.336686e-01 1.312171e+00 1.048254e+00 
5 126  1.622200533356764538e+02 0 0 -1.941577e+00 8.928658e-01 1.912188e+00 1.390424e+00 9.082647e-02 6.737125e-01 6.099462e-01 1.409810e+00 1.256957e+00 
6 151  1.646786657040880186e+02 0 0 -4.707962e+00 6.274084e-01 1.214455e+00 1.656461e+00 6.070368e-01 6.460001e-01 7.645828e-02 1.636614e+00 7.718811e-01 
7 176  1.645320097895559570e+02 0 0 2.136574e-01 9.373335e-03 9.284792e-01 9.026477e-01 1.825677e+00 1.055162e+00 1.057572e+00 1.319411e+00 2.070740e+00 
8 201  1.649536560509277479e+02 0 0 -5.447689e-01 5.815296e-01 1.558474e+00 1.840904e+00 1.114552e+00 8.271861e-01 1.494942e+00 1.496564e+00 1.596287e+00 
9 226  1.648850028657447240e+02 0 0 -5.246244e-01 4.990639e-01 1.521557e+00 1.938573e+00 5.940813e-01 1.096481e+00 1.291553e+00 1.351212e+00 1.849623e+00 
10 251  1.645660188401632524e+02 0 0 8.305940e-01 -2.120617e-01 1.492515e+00 2.399615e-01 2.342900e-01 7.118424e-01 1.832915e+00 9.332424e-01 1.784508e+00 
11 276  1.647655640127719607e+02 0 0 -1.062455e+00 9.424748e-01 1.634173e+00 9.947175e-01 3.514288e-01 1.039648e+00 6.898091e-01 1.332203e+00 1.886405e+00 
12 301  5.827759121140379506e+01 0 0 2.089187e-02 3.635348e-01 1.354563e+00 9.001910e-01 9.931741e-01 5.729800e-01 1.353389e+00 1.336598e+00 1.706962e+00 
13 326  1.649250724960720049e+02 0 0 -1.382198e+00 7.587724e-01 7.803548e-01 5.889624e-01 1.085230e+00 1.023334e+00 4.602020e-01 9.872261e-01 6.289953e-01 
14 351  1.649425836959967455e+02 0 0 -5.010914e-01 5.461367e-01 1.085185e+00 8.929291e-01 7.402870e-01 6.212165e-01 1.067032e+00 1.295466e+00 1.839050e+00 
15 376  1.646628378757677922e+02 0 0 1.250692e+00 1.825455e-03 8.344556e-01 6.265514e-01 1.252752e+00 9.588022e-01 2.421898e+00 6.486620e-01 1.917315e+00 
16 401  7.732149285920894677e+00 0 0 3.064415e-01 1.740469e-01 1.158907e+00 5.382240e-01 1.352631e+00 8.305979e-01 2.479633e+00 1.008061e+00 3.342671e+00 
17 426  8.778859479123575227e+01 0 0 1.555066e-02 3.452443e-01 1.223403e+00 9.848636e-01 9.250502e-01 4.510088e-01 1.778624e+00 1.285353e+00 2.188110e+00 
18 451  1.626252727957924265e+02 0 0 3.077828e-02 3.719040e-01 1.204903e+00 4.369922e-01 1.100735e+00 4.865644e-01 1.852234e+00 6.416033e-01 2.066578e+00 
19 476  1.624787200835920657e+02 0 0 4.508999e-01 9.708872e-01 1.351260e+00 1.842476e-02 9.809118e-01 5.863369e-01 1.329621e+00 4.667649e-01 1.691816e+00 
20 501  9.617384092242996729e+00 0 0 4.335165e-01 1.265155e-01 1.604159e+00 2.480747e-01 1.172495e+00 5.677832e-01 1.114177e+00 8.811509e-01 1.974920e+00 
21 526  1.649281097219582932e+02 0 0 5.625169e-01 5.620594e-01 1.201499e+00 -2.634860e-01 1.156112e+00 7.345225e-01 9.141418e-01 9.685163e-01 1.021426e+00 
22 551  4.028216363093574159e+01 0 0 7.613168e-02 5.638311e-01 1.570793e+00 4.663059e-01 1.235862e+00 4.004037e-01 9.784096e-01 9.347935e-01 1.895196e+00 
23 576  2.662639087666365256e+01 0 0 1.853298e-01 8.510494e-01 1.168881e+00 2.609223e-01 1.290765e+00 5.877402e-01 1.299306e+00 6.336210e-01 1.907866e+00 
24 601  2.089258011464947273e+01 0 0 1.541115e+00 6.438166e-01 1.161897e+00 1.659391e-01 1.340013e+00 1.043816e+00 1.547628e+00 1.811251e-01 2.245722e+00 
25 626  1.684788978197547138e+01 0 0 4.694224e-01 8.555087e-01 8.605980e-01 2.873563e-01 1.413131e+00 8.415589e-01 1.465637e+00 3.061370e-01 2.321521e+00 
