%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210505, 2015/07/31 3:7:42.06)
1 11  3.903722663124808889e+01 0 0 4.185574e+00 2.653739e-01 3.575290e-01 -5.648626e-01 -5.301685e+00 -3.466416e+00 7.295388e+00 -3.515947e+01 -2.751997e-01 -8.570284e+00 
2 21  2.136324267716841874e+01 0 0 4.419639e+00 1.971452e+00 8.466652e-01 1.266695e+00 -6.280352e-01 2.103777e+01 -7.272917e-02 -8.937765e+00 -1.992937e+01 -2.044584e+01 
3 31  3.914678831119415747e+01 0 0 3.727342e+00 1.637585e+00 2.872348e-01 -4.100657e-02 9.388012e+00 8.880325e+00 7.623702e+00 4.401602e+00 2.946314e+01 1.301491e+00 
4 41  2.284050989275808519e+01 0 0 5.577576e+00 1.538552e+00 1.661238e+00 3.077372e+00 4.950845e+00 1.730634e-01 7.533190e+00 1.464758e+01 1.509093e+01 1.000875e+01 
5 51  2.738216881313044127e+01 0 0 6.953373e+00 1.308685e+00 5.848356e-01 4.014725e+00 1.976665e+00 8.424687e+00 1.120387e+01 8.791356e+00 1.443594e+01 1.456919e+01 
6 61  1.468970739710058915e+01 0 0 1.386935e+01 2.118255e+00 4.636960e-01 9.310821e+00 9.240268e+00 1.619680e+00 9.515709e+00 1.604153e+01 2.227492e+01 1.514595e+01 
7 71  2.127134857318589667e+01 0 0 1.111595e+01 9.321692e-01 2.545003e-01 3.750145e+00 6.467015e+00 2.896741e+00 4.571852e+00 4.364486e+01 3.105722e+01 5.248283e+00 
8 81  2.047881636664810046e+01 0 0 1.792323e+01 1.233448e+00 1.170020e+00 4.918613e+00 1.202753e+01 -9.364424e-01 5.454335e+00 3.585778e+01 2.312822e+01 1.160073e+01 
9 91  1.975940686108817346e+01 0 0 1.116091e+01 9.431638e-01 1.523239e+00 2.118698e+00 5.877685e+00 -4.172502e+00 3.994915e+00 2.915388e+01 2.520366e+01 1.313689e+01 
10 101  2.529528599426420143e+01 0 0 1.198292e+01 1.383638e+00 9.407592e-01 4.481864e+00 1.515277e+00 1.319267e+01 2.182136e+00 1.315831e+01 2.106972e+01 1.770727e+01 
11 111  1.518781334937729710e+01 0 0 1.544333e+01 4.756371e-01 -2.421314e-03 3.922981e+00 8.259137e-01 1.370571e+01 9.076650e+00 1.879101e+01 2.987110e+01 1.690915e+01 
12 121  2.130803927155583821e+01 0 0 8.200270e+00 1.327601e+00 7.894794e-01 2.900810e+00 3.095468e+00 7.161938e+00 3.724457e+00 1.365259e+01 1.793158e+01 1.246255e+01 
13 131  1.954905378162341378e+01 0 0 9.105206e+00 1.007069e+00 -4.075594e-02 5.683254e+00 1.256097e+00 7.282781e+00 4.778241e+00 2.159139e+01 1.965405e+01 1.065531e+01 
14 141  2.890620169859658972e+01 0 0 1.071159e+01 2.095990e+00 9.961099e-01 6.435851e+00 5.885752e+00 8.649096e+00 5.962802e+00 2.225446e+01 2.884911e+01 1.695461e+01 
15 151  1.634580242424035745e+01 0 0 1.732392e+01 2.271082e+00 1.036167e+00 2.875590e+00 2.685412e+00 6.040379e+00 6.508314e+00 1.463848e+01 2.543565e+01 1.894663e+01 
16 161  1.647226124579158224e+01 0 0 1.045353e+01 2.031229e+00 6.940235e-01 6.951485e+00 4.482585e+00 3.054384e+00 2.306302e+00 2.801727e+01 1.546192e+01 1.304579e+01 
17 171  2.089090282959836387e+01 0 0 8.535630e+00 2.671195e+00 7.528327e-01 8.241373e+00 4.120096e+00 5.351016e+00 4.591531e+00 1.598347e+01 2.158959e+01 1.105253e+01 
18 181  1.379351750258415699e+01 0 0 8.559905e+00 2.278406e+00 1.202768e+00 5.017676e+00 6.308530e+00 8.291339e+00 3.992331e+00 5.930136e+00 6.846866e+00 5.953506e+00 
19 191  1.564902075060692610e+01 0 0 1.125874e+01 2.569619e+00 1.142267e+00 5.004159e+00 3.107368e+00 1.216054e+01 2.290323e+00 1.549178e+01 1.529580e+01 1.089273e+01 
20 201  1.461176395999205546e+01 0 0 1.161095e+01 2.836094e+00 8.096743e-01 5.618636e+00 5.661725e+00 8.658653e+00 2.879071e+00 1.650856e+01 1.570809e+01 1.122924e+01 
21 211  1.823018944616620018e+01 0 0 9.579929e+00 2.586001e+00 6.685667e-01 4.379642e+00 5.367124e+00 9.779427e+00 3.242397e+00 1.985417e+01 2.738965e+01 1.301480e+01 
22 221  1.544514247213431268e+01 0 0 1.204287e+01 2.364161e+00 9.792603e-01 4.244711e+00 5.276232e+00 1.178219e+01 1.680278e+00 2.138454e+01 3.242397e+01 1.402934e+01 
23 231  1.514608777152458075e+01 0 0 1.757738e+01 2.766491e+00 8.131393e-01 4.974270e+00 8.500961e+00 1.315834e+01 1.819507e+00 1.919605e+01 2.419327e+01 1.579847e+01 
24 241  1.544724908238798911e+01 0 0 1.794409e+01 2.069543e+00 8.341279e-01 4.718167e+00 8.774644e+00 9.917931e+00 3.060397e+00 1.654381e+01 2.670618e+01 1.698217e+01 
25 251  1.481884362060108984e+01 0 0 2.012602e+01 2.055753e+00 4.741833e-01 3.134559e+00 7.786755e+00 1.423914e+01 3.266979e+00 1.663186e+01 4.499265e+01 2.078071e+01 
26 261  1.430417784406841264e+01 0 0 1.277400e+01 2.662057e+00 1.131349e+00 6.415736e+00 1.220081e+01 1.294380e+01 3.086112e+00 1.382345e+01 2.183207e+01 8.312060e+00 
27 271  1.474727186502109433e+01 0 0 1.515707e+01 2.689328e+00 1.073705e+00 5.841927e+00 1.370373e+01 1.115538e+01 4.816319e+00 1.184697e+01 2.488675e+01 1.106355e+01 
28 281  1.397391814938551846e+01 0 0 1.751649e+01 3.279752e+00 1.600374e+00 5.887323e+00 1.691867e+01 9.316293e+00 5.511971e+00 7.398066e+00 2.828455e+01 1.541416e+01 
29 291  1.655065896791552049e+01 0 0 1.588833e+01 2.669421e+00 8.036749e-01 5.848062e+00 1.304965e+01 1.320247e+01 1.534850e+00 1.887052e+01 2.004240e+01 1.086632e+01 
30 301  1.814355538939588186e+01 0 0 1.513851e+01 2.992318e+00 7.098826e-01 8.412694e+00 1.573274e+01 9.362591e+00 2.104898e+00 2.210891e+01 2.837445e+01 1.324849e+01 
31 311  1.415999373205333178e+01 0 0 1.485861e+01 2.733778e+00 6.689428e-01 5.271070e+00 1.783434e+01 1.245152e+01 3.121645e+00 1.229772e+01 3.258311e+01 1.552016e+01 
32 321  1.294449377787389999e+01 0 0 1.789182e+01 2.229079e+00 8.327072e-01 3.735130e+00 1.349163e+01 1.442970e+01 5.679291e+00 6.728307e+00 2.837786e+01 1.458974e+01 
33 331  1.349178444470279814e+01 0 0 1.557087e+01 2.739672e+00 7.881301e-01 3.808055e+00 1.462928e+01 1.293625e+01 7.807141e+00 5.799996e+00 2.286422e+01 8.962846e+00 
34 341  1.335957495666762362e+01 0 0 1.125045e+01 1.911800e+00 6.151816e-01 4.776369e+00 1.458330e+01 1.643242e+01 8.124232e+00 6.441951e+00 3.320219e+01 9.844299e+00 
35 351  1.404680784191734766e+01 0 0 1.603888e+01 2.887538e+00 1.025868e+00 4.695649e+00 1.477926e+01 1.165740e+01 8.057799e+00 9.068801e+00 2.981804e+01 9.576226e+00 
36 361  1.439407486808358350e+01 0 0 1.527990e+01 1.959781e+00 3.926053e-01 5.819286e+00 1.483148e+01 1.356638e+01 6.743333e+00 1.237707e+01 2.926261e+01 9.952623e+00 
37 371  1.412344800364689057e+01 0 0 1.593980e+01 1.944193e+00 1.604453e-01 6.607893e+00 1.590683e+01 1.630045e+01 8.547986e+00 1.123330e+01 2.707849e+01 1.246442e+01 
38 381  1.294690515755769411e+01 0 0 1.735802e+01 2.418982e+00 6.228904e-01 5.474977e+00 1.745545e+01 1.764440e+01 6.715298e+00 5.763893e+00 2.678679e+01 1.564816e+01 
39 391  1.578670799034328631e+01 0 0 1.793949e+01 2.243030e+00 4.596306e-01 6.735407e+00 1.453431e+01 1.882562e+01 7.348917e+00 1.206950e+01 3.161941e+01 1.303897e+01 
40 401  1.345821588466344210e+01 0 0 1.962456e+01 2.352796e+00 7.504782e-01 7.816279e+00 2.199038e+01 1.747519e+01 6.124568e+00 8.122976e+00 2.658279e+01 1.571099e+01 
41 411  1.261366713936812012e+01 0 0 1.649142e+01 2.078053e+00 7.582577e-01 4.837711e+00 1.429118e+01 1.739922e+01 8.345731e+00 4.863816e+00 3.147054e+01 1.467020e+01 
42 421  1.369245205517077046e+01 0 0 1.789616e+01 2.468611e+00 1.015800e+00 7.002553e+00 1.614472e+01 1.290936e+01 7.673127e+00 8.967195e+00 3.027005e+01 1.268205e+01 
43 431  1.356189656339595118e+01 0 0 1.767169e+01 2.521694e+00 1.021927e+00 5.987394e+00 1.309822e+01 1.226587e+01 9.132337e+00 9.132210e+00 4.174360e+01 1.347708e+01 
44 441  1.301874790195327058e+01 0 0 1.849489e+01 2.194768e+00 1.013103e+00 6.344363e+00 1.340158e+01 1.485062e+01 1.003892e+01 7.029363e+00 3.919892e+01 1.432655e+01 
45 451  1.415649740227486220e+01 0 0 1.739883e+01 2.792857e+00 1.112870e+00 6.483586e+00 1.562140e+01 1.240239e+01 6.339367e+00 1.146273e+01 3.872862e+01 1.348158e+01 
46 461  1.491402641865574452e+01 0 0 1.859663e+01 2.601683e+00 1.000652e+00 6.787833e+00 1.352544e+01 1.087157e+01 7.934828e+00 1.090670e+01 3.219739e+01 1.534141e+01 
47 471  1.384988464072211123e+01 0 0 1.698041e+01 3.066990e+00 1.042928e+00 7.041849e+00 1.800088e+01 1.362944e+01 7.113114e+00 9.926758e+00 3.425445e+01 1.242253e+01 
48 481  1.308154339845271785e+01 0 0 1.467951e+01 2.551742e+00 1.379218e+00 6.081143e+00 1.611231e+01 9.710104e+00 7.930519e+00 6.213286e+00 2.941713e+01 1.241902e+01 
49 491  1.354285460164820698e+01 0 0 1.503258e+01 2.202167e+00 8.184988e-01 6.836228e+00 1.505886e+01 1.445791e+01 8.771626e+00 6.156894e+00 3.081379e+01 1.332573e+01 
50 501  1.308167577944979065e+01 0 0 1.665050e+01 2.317456e+00 1.247625e+00 4.974291e+00 1.699920e+01 1.498022e+01 7.068368e+00 4.355587e+00 3.160892e+01 1.460062e+01 
51 511  1.576973772120963169e+01 0 0 1.603180e+01 2.595805e+00 8.608777e-01 5.115089e+00 1.737671e+01 1.277396e+01 7.406654e+00 9.007180e+00 2.999584e+01 1.157915e+01 
52 521  1.408761470551556982e+01 0 0 1.545633e+01 2.707878e+00 1.019655e+00 6.249440e+00 1.716565e+01 1.198486e+01 7.318980e+00 9.800820e+00 3.397596e+01 1.125608e+01 
53 531  1.390134304894947803e+01 0 0 1.603882e+01 2.951681e+00 9.896959e-01 7.334063e+00 1.680205e+01 1.364342e+01 5.494035e+00 1.078769e+01 3.111413e+01 1.195683e+01 
54 541  1.358839877367623217e+01 0 0 1.672437e+01 2.617893e+00 1.074999e+00 7.175449e+00 1.558893e+01 1.268733e+01 5.435465e+00 9.889361e+00 2.981878e+01 1.417066e+01 
55 551  1.409100610191180536e+01 0 0 1.866336e+01 2.994173e+00 1.049274e+00 7.921153e+00 1.633181e+01 1.247805e+01 5.443722e+00 1.200598e+01 3.149391e+01 1.492787e+01 
56 561  1.359299005082150380e+01 0 0 1.630415e+01 2.746133e+00 9.740523e-01 7.431580e+00 1.686550e+01 1.359393e+01 6.309331e+00 9.786348e+00 3.371784e+01 1.363878e+01 
57 571  1.375475074789849650e+01 0 0 1.505518e+01 2.811286e+00 8.426107e-01 7.604508e+00 1.675133e+01 1.189494e+01 7.005179e+00 9.757807e+00 3.004321e+01 1.199399e+01 
58 581  1.376953790299833358e+01 0 0 1.435512e+01 2.765393e+00 8.767035e-01 7.995426e+00 1.714565e+01 1.381059e+01 5.203017e+00 1.051370e+01 2.998724e+01 1.266641e+01 
59 591  1.351099394541359011e+01 0 0 1.663372e+01 2.862577e+00 8.946086e-01 7.206734e+00 1.618898e+01 1.376515e+01 6.341335e+00 9.352299e+00 3.027621e+01 1.427344e+01 
60 601  1.345217860907030349e+01 0 0 1.602495e+01 2.792075e+00 1.025954e+00 7.080015e+00 1.718165e+01 1.362226e+01 5.419877e+00 8.877236e+00 2.902315e+01 1.374819e+01 
61 611  1.342084691746077141e+01 0 0 1.631169e+01 2.762870e+00 1.078567e+00 7.144486e+00 1.837553e+01 1.368983e+01 5.729490e+00 8.864684e+00 3.231777e+01 1.361423e+01 
62 621  1.349355447371157979e+01 0 0 1.603357e+01 2.920809e+00 9.995392e-01 7.593008e+00 1.759028e+01 1.323655e+01 6.249506e+00 9.188942e+00 2.914206e+01 1.281178e+01 
63 631  1.327579864404291854e+01 0 0 1.614694e+01 2.988532e+00 1.112975e+00 7.522445e+00 1.889993e+01 1.228130e+01 6.575945e+00 8.419259e+00 2.984549e+01 1.363102e+01 
64 641  1.320401007588134235e+01 0 0 1.560635e+01 2.792061e+00 1.068698e+00 7.784643e+00 1.897681e+01 1.550854e+01 6.704119e+00 6.971277e+00 2.655670e+01 1.380285e+01 
65 651  1.311083061626784563e+01 0 0 1.541558e+01 2.807428e+00 1.080756e+00 7.134905e+00 1.684574e+01 1.348255e+01 6.688950e+00 7.574373e+00 2.839179e+01 1.335684e+01 
66 661  1.304126074698669591e+01 0 0 1.523092e+01 2.780596e+00 1.112080e+00 7.387244e+00 1.751315e+01 1.300225e+01 6.676795e+00 7.035195e+00 2.734788e+01 1.379295e+01 
67 671  1.332248887916941804e+01 0 0 1.604328e+01 2.879519e+00 1.082240e+00 6.536967e+00 1.675759e+01 1.214167e+01 5.855816e+00 8.531114e+00 2.726900e+01 1.297996e+01 
68 681  1.318238003634481537e+01 0 0 1.585632e+01 2.770310e+00 1.028626e+00 6.565087e+00 1.651355e+01 1.252757e+01 6.625309e+00 8.078050e+00 2.800984e+01 1.285643e+01 
69 691  1.297661269568654774e+01 0 0 1.577474e+01 2.775078e+00 1.069684e+00 6.629862e+00 1.724987e+01 1.417007e+01 6.964969e+00 6.289730e+00 2.531717e+01 1.254981e+01 
70 701  1.262725071761974682e+01 0 0 1.580406e+01 2.568545e+00 1.086637e+00 5.668014e+00 1.651395e+01 1.284977e+01 7.465662e+00 6.044258e+00 2.612400e+01 1.243036e+01 
71 711  1.278832380330836038e+01 0 0 1.542284e+01 2.505463e+00 1.035947e+00 6.745683e+00 1.644941e+01 1.392005e+01 7.310254e+00 6.377192e+00 2.433767e+01 1.240400e+01 
72 721  1.246648171927805038e+01 0 0 1.515816e+01 2.515544e+00 1.065048e+00 6.078650e+00 1.597784e+01 1.366007e+01 8.185639e+00 5.410232e+00 2.404517e+01 1.248527e+01 
73 731  1.229398646649662652e+01 0 0 1.560593e+01 2.482526e+00 1.191785e+00 6.503681e+00 1.724138e+01 1.451562e+01 7.726553e+00 4.842581e+00 2.400785e+01 1.374027e+01 
74 741  1.227522725188006980e+01 0 0 1.569533e+01 2.476801e+00 1.154547e+00 6.776217e+00 1.727003e+01 1.460507e+01 8.641705e+00 4.835495e+00 2.391222e+01 1.300825e+01 
75 751  1.209356391173894707e+01 0 0 1.508783e+01 2.437002e+00 1.165885e+00 6.067866e+00 1.680288e+01 1.459466e+01 7.440544e+00 4.175892e+00 2.062575e+01 1.362367e+01 
76 761  1.173673785983987905e+01 0 0 1.594645e+01 2.424982e+00 1.224753e+00 6.145029e+00 1.657116e+01 1.424406e+01 8.296983e+00 3.949446e+00 2.141317e+01 1.344331e+01 
77 771  1.212644519061676363e+01 0 0 1.566375e+01 2.520214e+00 1.190004e+00 6.841328e+00 1.709319e+01 1.495131e+01 8.626417e+00 4.644029e+00 2.446773e+01 1.364318e+01 
78 781  1.187212021214259039e+01 0 0 1.650095e+01 2.584993e+00 1.185139e+00 7.070231e+00 1.729443e+01 1.473805e+01 9.451151e+00 4.140705e+00 2.270602e+01 1.423573e+01 
79 791  1.198400407980323479e+01 0 0 1.664008e+01 2.510526e+00 1.150133e+00 6.785360e+00 1.766837e+01 1.379518e+01 8.966184e+00 4.332577e+00 2.043918e+01 1.322041e+01 
80 801  1.221226617451837093e+01 0 0 1.637034e+01 2.569157e+00 1.177334e+00 6.861998e+00 1.653164e+01 1.377865e+01 9.038226e+00 3.939791e+00 2.076572e+01 1.421887e+01 
