%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210820, 2015/07/31 3:8:44.20)
1 11 1.582285e+01 2.036657e+01  9.490655971111248590e+00  1.764207213972658650e+01  4.258732990694310416e+01  1.197927061408970642e+11
2 21 1.421523e+01 2.034683e+01  9.490655971111248590e+00  3.946380942948992754e+01  2.088957400976174697e+07  3.874557689632115841e+09
3 31 1.264147e+01 2.027394e+01  9.490655971111248590e+00  4.030634729346786571e+01  2.560014542250599479e+05  4.732191517734510040e+10
4 41 1.239234e+01 2.008745e+01  9.490655971111248590e+00  3.777666924824370653e+01  4.263019349992754314e+01  4.563920329993581390e+10
5 51 1.275818e+01 1.981395e+01  9.490655971111248590e+00  4.263018610134349728e+01  4.263037250558507196e+01  4.234471957043929100e+08
6 61 1.309166e+01 1.952425e+01  9.490655971111248590e+00  3.028661457707332971e+01  4.263036021780997942e+01  2.412114013383009933e+03
7 71 1.354605e+01 1.991993e+01  9.490655971111248590e+00  3.950543908673677862e+01  4.262745116771414189e+01  6.870769666082564697e+01
8 81 1.339410e+01 2.051263e+01  9.490655971111248590e+00  3.328260924903685236e+01  4.262662307086274183e+01  2.178711298039197573e+03
9 91 1.255846e+01 2.082361e+01  9.490655971111248590e+00  3.787820261007832556e+01  4.260937307191613854e+01  1.848112210066668410e+02
10 101 1.271568e+01 2.051343e+01  9.490655971111248590e+00  1.947979547604342798e+01  4.868234802741888245e+01  1.055010726682361746e+04
11 111 1.442220e+01 2.195602e+01  9.490655971111248590e+00  2.593706676246191023e+01  4.155345995468712772e+01  1.720937020740384753e+02
12 121 1.434706e+01 2.165156e+01  9.490655971111248590e+00  1.882471919052656517e+01  4.011748062776511858e+01  6.386617750064806751e+04
13 131 1.320605e+01 2.103246e+01  9.490655971111248590e+00  2.655089255694113248e+01  4.220705468257595783e+01  4.262736926161046824e+01
14 141 1.191261e+01 2.107226e+01  9.490655971111248590e+00  1.766594759599028919e+01  3.842066919369073474e+01  3.460647728591496707e+04
15 151 1.089693e+01 2.109393e+01  9.490655971111248590e+00  1.948591755434610917e+01  3.856132678001058878e+01  3.433971172199989815e+04
16 161 1.042532e+01 2.107371e+01  9.490655971111248590e+00  2.108804366913383532e+01  3.508981210349971036e+01  2.391798450365276665e+02
17 171 1.009878e+01 2.108943e+01  9.490655971111248590e+00  1.560016991112891738e+01  1.057521988130810371e+02  8.195779679567900530e+03
18 181 9.191671e+00 2.119296e+01  9.490655971111248590e+00  1.461001263601941069e+01  3.436566278000293551e+01  6.909214472861063996e+02
19 191 9.589923e+00 2.213990e+01  9.490655971111248590e+00  1.367617620032545744e+01  2.752798421574927445e+01  2.119630706533998455e+04
20 201 9.576348e+00 2.199122e+01  9.490655971111248590e+00  2.056528079248462149e+01  4.027683417203731153e+01  5.379687655051939510e+04
21 211 9.131155e+00 2.186279e+01  9.490655971111248590e+00  1.904376709922967947e+01  8.133159716515322657e+01  5.823170619411029620e+05
22 221 9.072065e+00 2.142789e+01  9.490655971111248590e+00  1.781543797517853633e+01  4.032121272959045655e+01  1.591372288011297996e+03
23 231 8.438815e+00 2.130363e+01  9.490655971111248590e+00  1.600891959985014168e+01  3.988571931645579127e+01  4.775049111026767605e+03
24 241 8.339868e+00 2.157478e+01  9.490655971111248590e+00  2.129455708207531828e+01  3.556817964670154453e+01  3.776775104145175646e+03
25 251 7.823378e+00 2.155177e+01  9.490655971111248590e+00  1.937423259169338863e+01  2.761586678065993539e+01  7.915848935631446693e+03
26 261 7.789878e+00 2.148139e+01  9.490655971111248590e+00  1.725055421026334912e+01  7.528341588828679676e+01  9.374759287194801800e+02
27 271 7.861328e+00 2.176612e+01  9.490655971111248590e+00  1.662280041271727526e+01  2.035103775962713613e+01  1.498004744757819253e+02
28 281 7.822670e+00 2.187163e+01  9.490655971111248590e+00  1.731907638047970011e+01  4.296903765058721802e+01  5.032690579132984567e+04
29 291 7.558549e+00 2.177014e+01  9.490655971111248590e+00  2.625945634497070813e+01  6.053904977018156615e+02  1.952311219662199030e+06
30 301 7.889341e+00 2.210601e+01  9.490655971111248590e+00  1.696529977515510268e+01  3.234059300538582704e+01  2.339216560678358073e+05
31 311 8.725947e+00 2.217393e+01  9.490655971111248590e+00  1.563793420016110503e+01  2.843974770815999165e+01  2.935101623503776864e+03
32 321 9.688093e+00 2.257612e+01  9.490655971111248590e+00  1.408760085216601432e+01  3.143794633706394137e+01  2.616218770431059238e+04
33 331 1.048484e+01 2.274896e+01  9.490655971111248590e+00  1.861060111047067522e+01  3.372997053583786453e+01  1.045113771439139236e+04
34 341 9.937275e+00 2.280939e+01  9.490655971111248590e+00  1.521388572861410360e+01  2.903208596256558138e+01  5.993615063058766827e+04
35 351 9.705948e+00 2.313818e+01  9.490655971111248590e+00  1.989533029717281210e+01  5.965926528143599228e+01  3.288778023338094272e+02
36 361 9.171828e+00 2.318949e+01  9.490655971111248590e+00  1.722473295631698420e+01  3.055774459178483227e+01  5.295705729087113696e+02
37 371 8.258574e+00 2.321176e+01  9.490655971111248590e+00  1.375958144496422797e+01  2.636634669916016804e+01  3.851173502547251815e+01
38 381 7.945165e+00 2.295944e+01  9.490655971111248590e+00  1.531195708667893385e+01  2.855592140832096959e+01  5.313885735044179910e+02
39 391 7.141382e+00 2.305163e+01  9.490655971111248590e+00  1.454487721927900523e+01  3.357876843319993299e+01  1.003387758995785219e+02
40 401 6.598617e+00 2.301245e+01  9.490655971111248590e+00  1.516525955377970725e+01  3.439348090066862085e+01  4.894011907432552988e+01
41 411 6.432877e+00 2.288653e+01  9.490655971111248590e+00  1.610851639195136897e+01  2.626662946429721046e+01  4.841773887579757485e+01
42 421 6.696417e+00 2.338931e+01  9.490655971111248590e+00  2.020164583779984113e+01  3.244882234691364431e+01  1.001101348078928481e+02
43 431 6.547190e+00 2.317462e+01  9.490655971111248590e+00  1.513482476926633424e+01  2.385708994979689379e+01  1.110519371792315496e+03
44 441 6.861374e+00 2.304936e+01  9.490655971111248590e+00  1.544996902199991240e+01  1.988803571203323983e+01  2.790693829726257746e+01
45 451 6.852173e+00 2.271300e+01  9.490655971111248590e+00  1.545021909980222397e+01  2.912162540397926946e+01  3.701786069940296215e+02
46 461 6.514888e+00 2.308819e+01  9.490655971111248590e+00  1.646012348584025631e+01  3.158276315905930076e+01  5.510826926613290198e+02
47 471 6.064290e+00 2.357162e+01  9.490655971111248590e+00  1.589021912191227059e+01  2.287693596282644748e+01  2.248736061178162231e+02
48 481 5.811702e+00 2.378010e+01  9.490655971111248590e+00  1.543492098311717520e+01  2.237581579981614510e+01  4.114753287481503889e+02
49 491 5.623624e+00 2.354498e+01  9.490655971111248590e+00  1.664004067394061437e+01  2.045600018245791318e+01  1.085554147856538663e+02
50 501 5.173391e+00 2.360339e+01  9.490655971111248590e+00  1.691764395917727626e+01  2.130996386470118154e+01  1.421313628166892897e+02
51 511 4.759150e+00 2.355682e+01  9.490655971111248590e+00  1.600507818434983420e+01  2.058547763948077147e+01  6.885127133092885288e+01
52 521 4.674954e+00 2.315895e+01  9.490655971111248590e+00  1.561339137179916570e+01  1.845063034299347393e+01  3.180916379543967665e+01
53 531 4.575581e+00 2.330217e+01  9.490655971111248590e+00  1.615859423842821485e+01  1.892402502383618312e+01  2.383914882556740267e+01
