%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=214906, 2015/07/30 21:47:29.06)
1 11 1.479366e+01 9.902622e-01 4.908777e-02 4.908777e-02 5.409072e-02 2.273553e-01 2.540041e-01 3.401351e-01 3.440983e-01 4.406462e-01 4.466813e-01 9.610467e-01 9.902622e-01 
2 21 1.364388e+01 9.777849e-01 4.846879e-02 4.846879e-02 5.461477e-02 2.272464e-01 2.516526e-01 3.356451e-01 3.388786e-01 4.358043e-01 4.399020e-01 9.494717e-01 9.777849e-01 
3 31 1.268784e+01 9.757160e-01 4.780311e-02 4.780311e-02 5.426348e-02 2.238223e-01 2.493615e-01 3.317974e-01 3.339262e-01 4.319583e-01 4.467161e-01 9.450870e-01 9.757160e-01 
4 41 1.236853e+01 9.749929e-01 4.794391e-02 4.794391e-02 5.405266e-02 2.247612e-01 2.494336e-01 3.270393e-01 3.301800e-01 4.307262e-01 4.420733e-01 9.401346e-01 9.749929e-01 
5 51 1.139823e+01 9.682886e-01 4.740035e-02 4.740035e-02 5.384217e-02 2.214524e-01 2.466674e-01 3.224250e-01 3.297515e-01 4.268066e-01 4.385895e-01 9.300820e-01 9.682886e-01 
6 61 1.084225e+01 9.644963e-01 4.746735e-02 4.746735e-02 5.330852e-02 2.200369e-01 2.439231e-01 3.177729e-01 3.267486e-01 4.223624e-01 4.440157e-01 9.158936e-01 9.644963e-01 
7 71 1.147559e+01 9.784338e-01 4.677010e-02 4.677010e-02 5.488864e-02 2.173879e-01 2.400420e-01 3.147772e-01 3.219936e-01 4.156071e-01 4.689562e-01 9.038906e-01 9.784338e-01 
8 81 1.187232e+01 9.762610e-01 4.609195e-02 4.609195e-02 5.518038e-02 2.139791e-01 2.359135e-01 3.138634e-01 3.374838e-01 4.108310e-01 4.784839e-01 9.030450e-01 9.762610e-01 
9 91 1.229737e+01 9.767628e-01 4.599019e-02 4.599019e-02 5.443178e-02 2.113272e-01 2.354924e-01 3.136073e-01 3.360465e-01 4.066634e-01 4.832907e-01 9.012404e-01 9.767628e-01 
10 101 1.279612e+01 9.758357e-01 4.676683e-02 4.676683e-02 5.393140e-02 2.089172e-01 2.329832e-01 3.147514e-01 3.309131e-01 4.069331e-01 4.817566e-01 8.954709e-01 9.758357e-01 
11 111 1.264648e+01 9.721930e-01 4.647176e-02 4.647176e-02 5.322860e-02 2.097584e-01 2.295964e-01 3.144841e-01 3.343754e-01 4.054320e-01 4.798569e-01 8.872334e-01 9.721930e-01 
12 121 1.292989e+01 9.829858e-01 4.585486e-02 4.585486e-02 5.272188e-02 2.091748e-01 2.273657e-01 3.174362e-01 3.347864e-01 4.012361e-01 4.819364e-01 8.917837e-01 9.829858e-01 
13 131 1.335170e+01 1.001195e+00 4.550957e-02 4.550957e-02 5.211895e-02 2.088027e-01 2.247124e-01 3.126851e-01 3.445939e-01 3.952746e-01 4.823779e-01 8.855966e-01 1.001195e+00 
14 141 1.239134e+01 9.911670e-01 4.477944e-02 4.477944e-02 5.131379e-02 2.074746e-01 2.214024e-01 3.102541e-01 3.418823e-01 3.965196e-01 4.754234e-01 8.744093e-01 9.911670e-01 
15 151 1.185806e+01 9.797423e-01 4.520931e-02 4.520931e-02 5.065757e-02 2.047061e-01 2.225631e-01 3.077973e-01 3.391174e-01 3.944063e-01 4.696567e-01 8.695347e-01 9.797423e-01 
16 161 1.081796e+01 9.653183e-01 4.475773e-02 4.475773e-02 5.041183e-02 2.027339e-01 2.212592e-01 3.070613e-01 3.354664e-01 3.887803e-01 4.637673e-01 8.714880e-01 9.653183e-01 
17 171 1.021740e+01 9.692551e-01 4.430449e-02 4.430449e-02 5.045205e-02 2.001403e-01 2.192546e-01 3.096189e-01 3.314863e-01 3.844383e-01 4.578756e-01 8.704969e-01 9.692551e-01 
18 181 9.331179e+00 9.655164e-01 4.374196e-02 4.374196e-02 5.043575e-02 1.974527e-01 2.194512e-01 3.091287e-01 3.277546e-01 3.778752e-01 4.509966e-01 8.576345e-01 9.655164e-01 
