%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212524, 2015/08/18 18:12:54.25)
1 41 2.798488e+03 1.180967e+04  3.042657325098371857e+01  1.986719208506064831e+02  4.190311491396391392e+07  8.163279506872987000e+15
2 81 3.275419e+03 1.287393e+04  3.042657325098371857e+01  2.528226957619760071e+02  2.886810014278935341e+02  9.449858957614617500e+14
3 121 4.619811e+03 1.363679e+04  3.042657325098371857e+01  8.055525948629812660e+01  9.579546529105155059e+03  5.440712595499667000e+15
4 161 4.844146e+03 1.342793e+04  3.042657325098371857e+01  4.530642245833475101e+01  1.123967717224951593e+04  2.059321037929948800e+16
5 201 4.701500e+03 1.332509e+04  3.042657325098371857e+01  5.413987822763778723e+01  1.470628985446271836e+05  4.491424143918955000e+14
6 241 4.684866e+03 1.288438e+04  3.042657325098371857e+01  2.870741647140700366e+02  9.537032568717133472e+03  6.189629821838416406e+13
7 281 4.103458e+03 1.299914e+04  3.042657325098371857e+01  7.197854039276685967e+01  5.664084563012026592e+03  1.511611174110607147e+10
8 321 3.609315e+03 1.264209e+04  3.042657325098371857e+01  2.874320703468770830e+02  2.583676567852946930e+06  1.976225328667371582e+12
9 361 3.365429e+03 1.254820e+04  3.042657325098371857e+01  2.538784335967507673e+02  1.774177285376895918e+06  2.409585482796245600e+16
10 401 3.209083e+03 1.289956e+04  3.042657325098371857e+01  8.617617335721934069e+01  6.227803965230566973e+04  1.941021047520798072e+07
11 441 3.043044e+03 1.297912e+04  3.042657325098371857e+01  1.498956338019424663e+02  3.030138557969028625e+04  3.470367736428463459e+08
12 481 2.954573e+03 1.317983e+04  3.042657325098371857e+01  1.046329538301038582e+02  3.292024482913820975e+04  6.849804021683225632e+08
13 521 3.174755e+03 1.341306e+04  3.042657325098371857e+01  1.548226270444554871e+02  2.887744745799147950e+02  1.122931723283135891e+07
14 561 3.226542e+03 1.296132e+04  3.042657325098371857e+01  5.293494235393461622e+01  2.887729895040445172e+02  9.482547749891038984e+06
15 601 3.228799e+03 1.283573e+04  3.042657325098371857e+01  5.134025059614192799e+01  2.887785911903139322e+02  5.907422769388984889e+06
16 641 2.886349e+03 1.259553e+04  3.042657325098371857e+01  7.138405978371109484e+01  2.887409950335306803e+02  2.635704391239690036e+07
17 681 2.475310e+03 1.276119e+04  3.042657325098371857e+01  5.843483056600639713e+01  2.887511578585351231e+02  6.065200370434221113e+05
18 721 2.332532e+03 1.280906e+04  3.042657325098371857e+01  4.624435553154419409e+01  3.128990483326397225e+02  2.214129506472022738e+06
19 761 2.015964e+03 1.309942e+04  3.042657325098371857e+01  5.053988760664481106e+01  2.853079806220117121e+02  5.442455991429340793e+04
20 801 1.739370e+03 1.329755e+04  3.042657325098371857e+01  5.180374658484964812e+01  4.503521651498120377e+02  1.899412764148453716e+05
21 841 1.720318e+03 1.323171e+04  3.042657325098371857e+01  4.631166269536862501e+01  2.721599162017143385e+02  1.953177973456760446e+04
22 881 1.683316e+03 1.259676e+04  3.042657325098371857e+01  4.696744862386150743e+01  2.775308693537032809e+02  4.966696366082604072e+03
23 921 1.512137e+03 1.275679e+04  3.042657325098371857e+01  4.645341359088381239e+01  2.563097197059950076e+02  8.030523165470360254e+03
24 961 1.560255e+03 1.262768e+04  3.042657325098371857e+01  5.090647097937617360e+01  2.148434881793965587e+02  2.054724164214032498e+03
25 1001 1.374372e+03 1.286130e+04  3.042657325098371857e+01  5.119331048697658559e+01  2.100279767661668018e+02  1.425107163937261248e+03
26 1041 1.381908e+03 1.331543e+04  3.042657325098371857e+01  4.673035168749530044e+01  2.018894800683154642e+02  4.648918041943583376e+03
27 1081 1.492880e+03 1.351407e+04  3.042657325098371857e+01  4.702375975376753559e+01  1.209730583106961603e+02  2.009739554009188851e+03
28 1121 1.364039e+03 1.353301e+04  3.042657325098371857e+01  4.691437373321781479e+01  1.447539669773010473e+02  2.234811589216395532e+03
29 1161 1.220197e+03 1.420211e+04  3.042657325098371857e+01  4.772797031864104866e+01  1.147635171802561729e+02  2.739482386875416978e+03
30 1201 1.165549e+03 1.480837e+04  3.042657325098371857e+01  4.539846203439008576e+01  1.105926663321813663e+02  1.601346433991346203e+03
31 1241 1.146843e+03 1.596165e+04  3.042657325098371857e+01  4.615586336329751305e+01  1.040518882159079510e+02  6.549556863567736400e+02
32 1281 1.101316e+03 1.735527e+04  3.042657325098371857e+01  4.661563683204111896e+01  5.966854659800572591e+01  3.851762160250197553e+02
33 1321 1.022626e+03 1.951279e+04  3.042657325098371857e+01  4.640141621642993641e+01  7.437047456154144243e+01  3.762589233784737530e+02
34 1361 1.062127e+03 2.024626e+04  3.042657325098371857e+01  4.599068100398938697e+01  6.938660166502026527e+01  2.818245906576787547e+02
35 1401 1.046873e+03 2.150308e+04  3.042657325098371857e+01  4.656028160629411161e+01  5.986954474693902739e+01  2.829989218926373269e+02
36 1441 9.894065e+02 2.201779e+04  3.042657325098371857e+01  4.650056257928736159e+01  6.941955225406141494e+01  2.315339855285539556e+02
37 1481 9.794727e+02 2.232999e+04  3.042657325098371857e+01  4.572679989295765779e+01  6.301803208206828799e+01  2.475801177066750824e+02
38 1521 1.034639e+03 2.285114e+04  3.042657325098371857e+01  4.574497538584738265e+01  5.578578367174412733e+01  2.595757458004364935e+02
39 1561 1.061650e+03 2.333094e+04  3.042657325098371857e+01  4.573887454089253879e+01  5.499601305511746574e+01  1.315427294855996934e+02
40 1601 9.798870e+02 2.437529e+04  3.042657325098371857e+01  4.588071691573284738e+01  5.545429115560562394e+01  2.011248965023713140e+02
41 1641 9.810640e+02 2.636371e+04  3.042657325098371857e+01  4.607808225263560331e+01  5.503070748127056788e+01  1.301365716300319377e+02
42 1681 9.259161e+02 2.724856e+04  3.042657325098371857e+01  4.531300029564216914e+01  5.425507898639435211e+01  1.528361362063277795e+02
43 1721 1.048045e+03 2.872893e+04  3.042657325098371857e+01  4.555609278650962324e+01  5.382798191475963989e+01  1.010375570044209468e+02
44 1761 1.123245e+03 2.921572e+04  3.042657325098371857e+01  4.488873806231702446e+01  5.251320703191120742e+01  1.131097150005972480e+02
45 1801 1.179887e+03 3.001916e+04  3.042657325098371857e+01  4.466150331980882981e+01  5.436978530823547828e+01  9.118212338694709729e+01
46 1841 1.102690e+03 2.970319e+04  3.042657325098371857e+01  4.547548447875307431e+01  5.191917071222950142e+01  1.454901607537931909e+02
47 1881 1.030097e+03 3.113762e+04  3.042657325098371857e+01  4.488231399584707049e+01  5.081035683701968253e+01  1.498231669349116260e+02
48 1921 8.520550e+02 3.275010e+04  3.042657325098371857e+01  4.516093096793645145e+01  4.998887904856319153e+01  9.973047371249852233e+01
49 1961 8.449870e+02 3.515371e+04  3.042657325098371857e+01  4.524159031430081512e+01  4.945302254397445552e+01  7.376949214450773695e+01
50 2001 7.944115e+02 3.652489e+04  3.042657325098371857e+01  4.505221105199595399e+01  4.735548229567952205e+01  9.079590855807281002e+01
51 2041 7.514525e+02 3.762438e+04  3.042657325098371857e+01  4.494484664406694208e+01  4.776733207107882606e+01  1.158082783886011384e+02
52 2081 7.632368e+02 3.850351e+04  3.042657325098371857e+01  4.481505362164752881e+01  4.609447526974909692e+01  8.135060059386117359e+01
53 2121 6.844356e+02 4.175935e+04  3.042657325098371857e+01  4.475297593597861834e+01  4.768803520602004653e+01  8.897272672102013757e+01
54 2161 7.328975e+02 4.682359e+04  3.042657325098371857e+01  4.465485626814043485e+01  4.654591760611751283e+01  6.488652342529977091e+01
55 2201 7.490192e+02 4.859984e+04  3.042657325098371857e+01  4.460945445225695494e+01  4.636128642519719278e+01  6.118328028437180421e+01
56 2241 7.471752e+02 4.916755e+04  3.042657325098371857e+01  4.463358098075854485e+01  4.678719842259734207e+01  6.362484715988687611e+01
57 2281 7.789644e+02 5.143701e+04  3.042657325098371857e+01  4.456975484733766280e+01  4.622293038808410870e+01  5.956876564393260054e+01
58 2321 9.959077e+02 5.115563e+04  3.042657325098371857e+01  4.427638385546095634e+01  4.582608788784324361e+01  6.134448227240538642e+01
59 2361 1.052137e+03 5.199038e+04  3.042657325098371857e+01  4.407203105128998288e+01  4.723698125167429396e+01  8.271911464151037308e+01
60 2401 9.511064e+02 5.335035e+04  3.042657325098371857e+01  4.376961456922125393e+01  4.593863048860566067e+01  8.106501065114284188e+01
61 2441 9.872599e+02 5.442035e+04  3.042657325098371857e+01  4.401039220605229474e+01  4.550226308424954169e+01  5.883871578048291440e+01
62 2481 9.457696e+02 5.563898e+04  3.042657325098371857e+01  4.402147581992357317e+01  4.617917988684362740e+01  6.323490527597989797e+01
63 2521 1.004961e+03 5.872123e+04  3.042657325098371857e+01  4.396165340772186880e+01  4.507425754637088744e+01  6.296316953755979284e+01
64 2561 9.500367e+02 5.939796e+04  3.042657325098371857e+01  4.374200082204917805e+01  4.520561365913441421e+01  1.491541243974455710e+02
